step,stage,machine_id,machine_age,in_maintenance,maintenance_timer,failed,buffer_level,wips_in_machine,wips_held,action,reward
48,1,2,2.0,0,0,0,100,100,0,0,-5410.0
48,1,3,3.0,0,0,0,100,100,0,0,-5410.0
49,0,0,0.0,1,2,0,1400,0,0,1,-18000.0
49,0,1,0.0,1,2,0,1400,0,0,1,-18000.0
49,1,2,3.0,0,0,0,200,100,0,0,-18000.0
49,1,3,0.0,1,2,0,200,0,0,1,-18000.0
50,0,0,0.0,1,1,0,1400,0,0,1,-9000.0
50,0,1,0.0,1,1,0,1400,0,0,0,-9000.0
50,1,2,0.0,1,2,0,200,0,0,1,-9000.0
50,1,3,0.0,1,1,0,200,0,0,0,-9000.0
51,0,0,1.0,0,0,0,1200,100,0,0,-1000.0
51,0,1,1.0,0,0,0,1200,100,0,1,-1000.0
51,1,2,0.0,1,1,0,100,0,0,0,-1000.0
51,1,3,1.0,0,0,0,100,100,0,0,-1000.0
52,0,0,0.0,1,2,0,1100,0,0,1,-6000.0
52,0,1,2.0,0,0,0,1100,100,0,0,-6000.0
52,1,2,1.0,0,0,0,100,100,0,1,-6000.0
52,1,3,2.0,0,0,0,100,100,0,0,-6000.0
53,0,0,0.0,1,1,0,1100,0,0,0,-19000.0
53,0,1,0.0,1,2,0,1100,0,0,1,-19000.0
53,1,2,0.0,1,2,0,200,0,0,1,-19000.0
53,1,3,0.0,1,2,0,200,0,0,1,-19000.0
54,0,0,1.0,0,0,0,1000,100,0,1,-3000.0
54,0,1,0.0,1,1,0,1000,0,0,1,-3000.0
54,1,2,0.0,1,1,0,200,0,0,1,-3000.0
54,1,3,0.0,1,1,0,200,0,0,0,-3000.0
55,0,0,2.0,0,0,0,1400,100,0,0,-6400.0
55,0,1,1.0,0,0,0,1400,100,0,1,-6400.0
55,1,2,1.0,0,0,0,100,100,0,1,-6400.0
55,1,3,1.0,0,0,0,100,100,0,1,-6400.0
56,0,0,3.0,0,0,0,1300,100,0,0,-12000.0
56,0,1,0.0,1,2,0,1300,0,0,1,-12000.0
56,1,2,0.0,1,2,0,200,0,0,1,-12000.0
56,1,3,2.0,0,0,0,200,100,0,0,-12000.0
57,0,0,0.0,1,2,0,1300,0,0,1,-8000.0
57,0,1,0.0,1,1,0,1300,0,0,1,-8000.0
57,1,2,0.0,1,1,0,200,0,0,1,-8000.0
57,1,3,3.0,0,0,0,200,100,0,0,-8000.0
58,0,0,0.0,1,1,0,1200,0,0,0,-7000.0
58,0,1,1.0,0,0,0,1200,100,0,1,-7000.0
58,1,2,1.0,0,0,0,100,100,0,0,-7000.0
58,1,3,0.0,1,2,0,100,0,0,1,-7000.0
59,0,0,1.0,0,0,0,1000,100,0,1,-7000.0
59,0,1,2.0,0,0,0,1000,100,0,0,-7000.0
59,1,2,0.0,1,2,0,200,0,0,1,-7000.0
59,1,3,0.0,1,1,0,200,0,0,0,-7000.0
60,0,0,0.0,1,2,0,900,0,0,1,-7000.0
60,0,1,3.0,0,0,0,900,100,0,0,-7000.0
60,1,2,0.0,1,1,0,300,0,0,1,-7000.0
60,1,3,1.0,0,0,0,300,100,0,0,-7000.0
61,0,0,0.0,1,1,0,800,0,0,0,-7000.0
61,0,1,4.0,0,0,0,800,100,0,0,-7000.0
61,1,2,1.0,0,0,0,300,100,0,1,-7000.0
61,1,3,0.0,1,2,0,300,0,0,1,-7000.0
62,0,0,1.0,0,0,0,1400,100,0,0,-11650.0
62,0,1,0.0,1,2,0,1400,0,0,1,-11650.0
62,1,2,2.0,0,0,0,300,100,0,0,-11650.0
62,1,3,0.0,1,1,0,300,0,0,1,-11650.0
63,0,0,0.0,1,2,0,1400,0,0,1,-13000.0
63,0,1,0.0,1,1,0,1400,0,0,0,-13000.0
63,1,2,0.0,1,2,0,300,0,0,1,-13000.0
63,1,3,1.0,0,0,0,300,100,0,1,-13000.0
64,0,0,0.0,1,1,0,1300,0,0,1,-2000.0
64,0,1,1.0,0,0,0,1300,100,0,1,-2000.0
64,1,2,0.0,1,1,0,200,0,0,1,-2000.0
64,1,3,2.0,0,0,0,200,100,0,0,-2000.0
65,0,0,1.0,0,0,0,1100,100,0,1,-6000.0
65,0,1,2.0,0,0,0,1100,100,0,0,-6000.0
65,1,2,1.0,0,0,0,200,100,0,0,-6000.0
65,1,3,0.0,1,2,0,200,0,0,1,-6000.0
66,0,0,0.0,1,2,0,1000,0,0,1,-13000.0
66,0,1,3.0,0,0,0,1000,100,0,0,-13000.0
66,1,2,0.0,1,2,0,400,0,0,1,-13000.0
66,1,3,0.0,1,1,0,400,0,0,0,-13000.0
67,0,0,0.0,1,1,0,1000,0,0,0,-8000.0
67,0,1,0.0,1,2,0,1000,0,0,1,-8000.0
67,1,2,0.0,1,1,0,400,0,0,0,-8000.0
67,1,3,1.0,0,0,0,400,100,0,1,-8000.0
68,0,0,1.0,0,0,0,900,100,0,0,-7000.0
68,0,1,0.0,1,1,0,900,0,0,1,-7000.0
68,1,2,1.0,0,0,0,300,100,0,1,-7000.0
68,1,3,0.0,1,2,0,300,0,0,1,-7000.0
69,0,0,0.0,1,2,0,1400,0,0,1,-12860.0
69,0,1,1.0,0,0,0,1400,100,0,1,-12860.0
69,1,2,2.0,0,0,0,300,100,0,0,-12860.0
69,1,3,0.0,1,1,0,300,0,0,0,-12860.0
70,0,0,0.0,1,1,0,1300,0,0,0,-7000.0
70,0,1,2.0,0,0,0,1300,100,0,0,-7000.0
70,1,2,0.0,1,2,0,300,0,0,1,-7000.0
70,1,3,1.0,0,0,0,300,100,0,0,-7000.0
71,0,0,1.0,0,0,0,1200,100,0,0,-13000.0
